league,season,team,name,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,pos_y,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-267,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,FW,84,0,0,0,0,1,1,0,0,0,2,0,4,1,1,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-267,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,FW,90,1,1,0,0,3,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-267,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,FW,45,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-267,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,FW,58,3,0,0,0,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-267,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,FW,85,0,0,0,0,3,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-267,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,"FW,MF",45,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-267,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,AM,83,0,0,0,0,4,0,0,0,4,2,0,2,0,1,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-257,1995,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-257,1995,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0.66
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-257,1995,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-257,1995,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-136,1999,38,37,3225,35.8,7,8,15,7,0,0,5,0,3.3,3.3,5.3,8.6,75,278,64,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,CM,90,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-136,1999,38,37,3225,35.8,7,8,15,7,0,0,5,0,3.3,3.3,5.3,8.6,75,278,64,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,CM,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.0
