name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y
Radu Drăgușin,DF,ROU,60424,52052,364,299,27807,309.4,26,13,39,26,0,0,26,0,14.3,14.3,10.4,26.0,143,481,182,1.43,0.65,2.08,1.43,2.08,1.04,0.52,1.69,1.04,1.69,2160,0,0,0,0,2,0,4,0,20,22,2,8,6,22,0,0,0,0,0,0,0.0,"ITA-Serie A,ENG-Premier League","Tottenham,Genoa",22-116,CB
Lukáš Hrádecký,GK,FIN,51128,43758,726,726,65340,726.0,0,0,0,0,0,0,44,0,0.0,0.0,0.0,0.0,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,13,33,0.37772727272727274,GER-Bundesliga,Leverkusen,34-187,GK
Jordan Pickford,GK,ENG,51128,43868,836,836,75240,836.0,0,0,0,0,0,0,110,0,0.0,0.0,2.2,2.2,22,132,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0.03409090909090909,ENG-Premier League,Everton,30-083,GK
Wojciech Szczęsny,GK,POL,46480,39800,700,700,63000,700.0,0,0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,11,14,0.24548387096774194,ITA-Serie A,Juventus,34-041,GK
Giorgi Mamardashvili,GK,GEO,46480,40000,740,740,65680,730.0,0,0,0,0,0,0,60,20,0.0,0.0,8.0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,18,35,0.37516129032258067,ESP-La Liga,Valencia,23-243,GK
Odisseas Vlachodimos,GK,GRE,46480,39880,100,100,9000,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1860,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,8,28,0.3969354838709678,ENG-Premier League,Nott'ham Forest,30-033,GK
Elif Elmas,"MF,FW,FW,MF",MKD,51128,43978,275,66,6655,74.8,22,0,22,22,0,0,22,0,14.3,14.3,3.3000000000000003,17.6,253,275,484,5.83,0.0,5.83,5.83,5.83,4.4,1.1,5.5,4.4,5.5,1852,6,0,0,0,28,12,4,0,12,18,2,18,8,8,0,0,0,0,0,0,0.0,"ITA-Serie A,GER-Bundesliga","Napoli,RB Leipzig",24-248,"CM,FW,AM"
Attila Szalai,DF,HUN,46480,39960,70,40,3910,43.0,0,0,0,0,0,0,10,0,0.0,0.0,6.0,6.0,30,180,30,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,0.0,2.7,1800,0,2,0,0,14,2,2,0,24,2,0,32,12,16,2,0,0,0,0,0,0.0,GER-Bundesliga,"Hoffenheim,Freiburg",26-130,CB
Stole Dimitrievski,GK,MKD,46480,39860,740,740,66600,740.0,0,0,0,0,0,0,40,0,0.0,0.0,2.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,20,18,0.16949999999999998,ESP-La Liga,Rayo Vallecano,30-156,GK
Robin Olsen,GK,SWE,46480,39800,100,80,8100,90.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,21,0.1925,ENG-Premier League,Aston Villa,34-142,GK
Martin Dúbravka,GK,SVK,46480,39780,460,440,39700,442.0,0,0,0,0,0,0,20,0,0.0,0.0,2.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,32,7,27,0.333,ENG-Premier League,Newcastle Utd,35-135,GK
Arijanet Muric,GK,KVX,46480,39960,200,200,18000,200.0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,4.0,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1800,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,28,8,21,0.296,ENG-Premier League,Burnley,25-204,GK
Matz Sels,GK,BEL,46480,39840,350,350,31500,350.0,0,0,0,0,0,0,30,0,0.0,0.0,6.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1768,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,6,16,0.25350678733031673,"ENG-Premier League,FRA-Ligue 1","Strasbourg,Nott'ham Forest",32-093,GK
Jan Oblak,GK,SVN,46480,39860,760,760,68400,760.0,0,0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,26,6,20,0.2957894736842105,ESP-La Liga,Atlético Madrid,31-143,GK
