name,pos,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%
Gianluigi Donnarumma,GK,4936,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,14,4,10,0
Jordan Pickford,GK,4770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,16,0
Unai Simón,GK,4320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,9,0
Jorginho,CM,4224,0,0,0,0,0,0,2,0,11,19,0,2,8,75,0,0,0,0,0,0,0
John Stones,CB,4068,0,0,0,0,5,1,0,0,2,3,0,0,6,15,0,0,0,0,0,0,0
Leonardo Bonucci,CB,4050,1,0,0,0,5,1,4,0,2,5,1,0,0,36,0,0,0,0,0,0,0
Kalvin Phillips,"CM,DM",3984,0,2,0,0,4,1,2,0,12,4,1,8,8,21,0,0,0,0,0,0,0
Kasper Schmeichel,GK,3960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,16,0
Harry Kane,FW,3876,4,0,0,1,13,7,0,0,5,14,2,6,0,9,0,0,0,0,0,0,0
Raheem Sterling,"AM,LW,RW",3834,3,2,0,0,14,8,0,0,8,12,4,8,10,12,0,1,0,0,0,0,0
Aymeric Laporte,CB,3780,1,0,0,0,2,1,2,0,9,6,0,0,4,15,0,0,0,0,0,0,0
Pedri,LM,3768,0,0,0,0,0,0,0,0,3,13,0,4,6,12,1,0,0,0,0,0,0
Kyle Walker,"CB,RB",3594,0,0,0,0,0,0,0,0,1,3,0,8,0,24,0,0,0,0,0,0,0
Giovanni Di Lorenzo,RB,3510,0,0,0,0,5,0,2,0,13,13,0,14,16,24,0,0,1,0,0,0,0
Yann Sommer,GK,3510,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,9,21,0
Luke Shaw,"WB,LB",3444,1,6,0,0,3,1,0,0,10,4,2,56,6,12,0,0,0,0,0,0,0
Joakim Mæhle,"LM,LW,LB,WB",3420,2,2,0,0,10,7,0,0,6,8,0,28,10,24,0,0,1,0,0,0,0
Pierre Højbjerg,"CM,RM,AM",3420,0,6,0,1,7,3,0,0,3,4,0,16,16,21,0,0,0,0,0,0,0
Martin Braithwaite,"RW,FW",3384,1,0,0,0,16,3,0,0,6,11,2,30,0,0,0,0,0,0,0,0,0
Heorhiy Bushchan,GK,3330,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,25,10,14,0
Jordi Alba,LB,3324,0,2,0,0,2,1,2,0,6,5,1,50,12,12,0,0,0,0,0,0,0
Declan Rice,"CM,DM",3210,0,0,0,0,1,1,2,0,6,2,0,0,10,36,0,0,0,0,0,0,0
Simon Kjær,CB,3168,0,0,0,0,2,1,0,0,3,5,0,0,12,30,1,0,0,0,0,0,0
Tomáš Vaclík,GK,3150,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,4,11,0
Thibaut Courtois,GK,3150,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,3,11,0
Andreas Christensen,CB,3108,1,0,0,0,3,2,0,0,4,4,0,0,6,24,0,0,0,0,0,0,0
Harry Maguire,CB,3060,1,0,0,0,8,4,6,0,4,8,0,0,4,27,0,0,0,0,0,0,0
Nico Elvedi,CB,3060,0,0,0,0,2,0,2,0,2,3,0,2,10,24,0,0,0,0,0,0,0
Manuel Akanji,CB,3060,0,0,0,0,5,0,2,0,4,3,0,0,12,24,0,0,0,0,0,0,0
Lorenzo Insigne,"LW,FW",3042,2,0,0,0,19,7,2,0,1,3,4,40,2,9,0,0,0,0,0,0,0
Jannik Vestergaard,CB,2910,0,0,0,0,6,3,0,0,9,2,0,0,10,24,0,0,1,0,0,0,0
Mykola Matviyenko,CB,2880,0,0,0,0,0,0,0,0,4,1,0,2,6,36,0,0,0,0,0,0,0
Oleksandr Karavayev,"RB,WB",2880,0,2,0,0,5,0,0,0,2,8,0,18,10,21,0,0,1,0,0,0,0
Illia Zabarnyi,CB,2880,0,0,0,0,2,1,0,0,2,3,0,0,8,30,0,0,0,0,0,0,0
Oleksandr Zinchenko,"LM,CM",2880,1,2,0,0,2,1,0,0,3,4,0,28,14,12,0,0,0,0,0,0,0
Koke,RM,2862,0,0,0,0,7,1,0,0,6,11,0,60,22,0,0,1,0,0,0,0,0
Ricardo Rodríguez,"LB,CB",2856,0,0,0,1,2,0,2,0,2,4,0,46,8,15,0,0,0,0,0,0,0
Nicolò Barella,RM,2814,1,2,0,0,5,2,4,0,6,10,1,4,4,6,0,0,0,0,0,0,0
Mason Mount,AM,2772,0,0,0,0,7,2,0,0,5,8,0,52,12,3,0,0,0,0,0,0,0
Remo Freuler,"DM,CM",2754,0,2,0,0,0,0,0,2,7,6,0,6,10,21,0,0,0,0,0,0,0
Thomas Delaney,CM,2742,1,0,0,0,7,1,2,0,14,3,0,22,10,21,0,0,0,0,0,0,0
