name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y,Price
Giorgi Mamardashvili,GK,GEO,46480,40000,740,740,65680,730.0,0,0,0,0,0,0,60,20,0.0,0.0,8.0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,18,35,0.3751612903225806,ESP-La Liga,Valencia,23-243,GK,3000000.0
Jan Oblak,GK,SVN,37184,31888,608,608,54720,608.0,0,0,0,0,0,0,16,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,26,6,20,0.35125,ESP-La Liga,Atlético Madrid,31-143,GK,3500000.0
Jordan Pickford,GK,ENG,37184,31904,608,608,54720,608.0,0,0,0,0,0,0,80,0,0.0,0.0,1.6,1.6,16,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0.0468749999999999,ENG-Premier League,Everton,30-083,GK,5500000.0
Gianluigi Donnarumma,GK,ITA,37184,31984,400,400,34704,385.6,0,0,0,0,0,0,48,16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,9,15,0.28625,FRA-Ligue 1,Paris S-G,25-094,GK,5000000.0
Attila Szalai,DF,HUN,37184,31968,56,32,3128,34.400000000000006,0,0,0,0,0,0,8,0,0.0,0.0,4.8,4.8,24,144,24,0.0,0.0,0.0,0.0,0.0,0.0,2.16,2.16,0.0,2.16,1440,0,2,0,0,14,2,2,0,24,2,0,32,12,16,2,0,0,0,0,0,0.0,GER-Bundesliga,"Hoffenheim,Freiburg",26-130,CB,2500000.0
Yann Sommer,GK,SUI,32536,27832,476,476,42840,476.0,0,0,0,0,0,0,14,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,9,9,0.2921428571428571,ITA-Serie A,Inter,35-164,GK,4000000.0
Mike Maignan,GK,FRA,27888,23940,348,348,31308,348.0,0,12,12,0,0,0,12,12,0.0,0.0,3.6,3.6,0,0,0,0.0,0.36,0.36,0.0,0.36,0.0,0.12,0.12,0.0,0.12,1080,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,13,0.3958333333333333,ITA-Serie A,Milan,28-331,GK,5500000.0
Matz Sels,GK,BEL,27888,23904,210,210,18900,210.0,0,0,0,0,0,0,18,0,0.0,0.0,3.6,3.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,1080,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,6,16,0.415,"ENG-Premier League,FRA-Ligue 1","Strasbourg,Nott'ham Forest",32-093,GK,5000000.0
Orel Mangala,MF,BEL,37184,31968,224,184,15688,174.39999999999998,24,0,24,24,0,0,48,0,14.4,14.4,7.199999999999999,21.6,176,568,280,4.08,0.0,4.08,4.08,4.08,2.16,1.28,3.44,2.16,3.44,994,0,4,0,0,6,2,2,0,16,8,0,4,12,10,2,0,0,0,0,0,0.0,"ENG-Premier League,FRA-Ligue 1","Lyon,Nott'ham Forest",26-072,"MF,CM,DM",3000000.0
Jakub Kiwior,DF,POL,23240,20000,200,110,9460,105.0,10,30,40,10,0,0,10,0,8.0,8.0,9.0,17.0,40,550,160,1.0,2.9,3.8,1.0,3.8,0.8,0.8999999999999999,1.6,0.8,1.6,930,0,0,0,0,11,0,0,0,5,4,1,20,8,9,0,0,0,0,0,0,0.0,ENG-Premier League,Arsenal,24-104,"LB,CB",3000000.0
