name,pos,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%
Nicola Nanni,FW,179,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Contadini,FW,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Pancotti,FW,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filippo Berardi,FW,150,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicko Sensoli,FW,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Tosi,LM,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Grandoni,DF,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Capicchioni,CM,162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enrico Golinucci,"FW,MF",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Golinucci,CM,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro D'Addario,RM,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Pasolini,CB,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo Vitaioli,FW,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michele Cevoli,CB,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filippo Fabbri,CB,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edoardo Colombo,GK,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Panayiotou,AM,169,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Edwards,FW,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
