name,Price,score_with_difficulty
Arthur Theate,3500000.0,0.25195815633945884
Timothy Castagne,3500000.0,0.20142469840500302
Giovanni Di Lorenzo,4000000.0,0.1781785599226804
Yannick Carrasco,4000000.0,0.3608455795940171
Adrien Rabiot,4000000.0,0.33738157894736837
Dodi Lukebakio,3500000.0,0.20731050506741155
Mikel Merino,3500000.0,0.18421492269635129
Antoine Griezmann,7000000.0,0.5685109723714047
Harry Kane,9000000.0,0.5466904015190306
Randal Kolo Muani,4500000.0,0.46461394226306507
Vitaliy Mykolenko,2500000.0,-0.08027302302302303
