name,Price,fantasy_score_with_difficulty,value_per_million,pos
Jakub Kiwior,3000000.0,989186.3438205641,329728.78127352137,DF
Ryan Christie,2500000.0,3037640.102518231,1215056.0410072925,MF
Pedro Porro,3000000.0,124564.88381224335,41521.62793741445,
Robert Lewandowski,6000000.0,8134950.379778073,1355825.0632963455,FW
Myrto Uzuni,2500000.0,14327488.812028846,5730995.524811538,FW
Kieran Tierney,3000000.0,1687577.8347323507,562525.9449107836,DF
Marcel Sabitzer,4000000.0,3574851.1885589133,893712.7971397283,MF
Michael Gregoritsch,4000000.0,5735768.698060944,1433942.174515236,FW
Maximilian Wöber,2500000.0,2134239.5155575606,853695.8062230243,DF
Etrit Berisha,3000000.0,5730995.52481154,1910331.8416038465,GK
Kristjan Asllani,2500000.0,2604997.9658234264,1041999.1863293706,MF
Lazar Samardzic,2500000.0,5167744.839435667,2067097.9357742667,MF
