name,Price,fantasy_score_with_difficulty,value_per_million,pos
Kieran Trippier,4000000.0,127081.62208217222,31770.405520543056,DF
Jarrod Bowen,3500000.0,436784.24182316964,124795.49766376276,FW
Nico Williams,4000000.0,472029.17487187544,118007.29371796886,FW
Jude Bellingham,8000000.0,576103.3534391809,72012.91917989761,MF
Mikel Merino,3500000.0,309041.5225618557,88297.5778748159,MF
Giorgi Mamardashvili,3000000.0,-0.4002318115560164,-0.13341060385200545,GK
Vitinha,3000000.0,204796.30009792413,68265.4333659747,MF
Kevin Mbabu,2000000.0,6.9937949000866615,3.4968974500433307,DF
Harry Kane,9000000.0,930049.2045717494,103338.80050797216,FW
Florian Wirtz,6500000.0,392167.934778983,60333.52842753585,MF
David Raum,3500000.0,123750.77053025684,35357.36300864481,DF
