name,Price,fantasy_score_with_difficulty,fantasy_score,value_per_million,pos
Bukayo Saka,7000000.0,3.800157524358882e-05,1629.1378145105186,5.428796463369831e-06,FW
Declan Rice,4500000.0,0.00020609839187984573,8835.493833322349,4.579964263996572e-05,MF
Harry Maguire,4500000.0,0.0001923795244886946,8247.362275724612,4.2751005441932134e-05,DF
Antoine Griezmann,7000000.0,0.0002759665607419459,25005.737076129364,3.942379439170656e-05,FW
Mikel Merino,3500000.0,2.2443756501972368e-05,38.58303382849642,6.412501857706391e-06,MF
Cenk Özkacar,2000000.0,-2.5371158712822265e-21,-0.4256323676554467,-1.2685579356411132e-21,DF
Harry Kane,9000000.0,0.00050889372155732,21816.41155772577,5.654374683970223e-05,FW
Salih Özcan,2500000.0,-1.2156749631685857e-19,-20.394441528261385,-4.862699852674343e-20,MF
Mike Maignan,5500000.0,0.005831791032564606,528427.1864358316,0.0010603256422844739,GK
Flavius Daniliuc,2000000.0,-7.836622138856767e-35,-1.2309222225023105e-08,-3.9183110694283834e-35,DF
Marash Kumbulla,2000000.0,-3.120998052001552e-61,-3.1511608896059148e-06,-1.560499026000776e-61,DF
