name,pos,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%
João Félix,FW,66,0,0,0,0,3,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Rafael Leão,"FW,MF",24,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Cristiano Ronaldo,FW,77,2,0,1,1,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Gonçalo Ramos,FW,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raphaël Guerreiro,LW,90,0,0,0,0,1,0,0,0,1,0,0,6,1,1,0,0,0,0,0,0,0
Bruno Fernandes,AM,88,0,0,0,0,3,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
João Mário,"FW,MF",2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bernardo Silva,AM,77,1,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Vitinha,MF,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Cancelo,RW,90,1,0,0,0,4,3,0,0,1,1,0,10,1,1,0,0,0,0,0,0,0
João Palhinha,DM,90,0,0,0,0,4,2,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0
Rúben Dias,CB,90,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Danilo Pereira,CB,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rúben Neves,MF,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonçalo Inácio,CB,90,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rui Patrício,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rui Patrício,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100
Aron Sele,FW,79,0,0,0,0,2,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0
Niklas Beck,DF,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp Gassner,FW,59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Jakob Lorenz,MF,31,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Nicolas Hasler,CM,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sandro Wieser,CM,90,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0
Noah Frommelt,CM,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Livio Meier,LB,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fabio Wolfinger,MF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jens Hofer,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
Lars Traber,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
